Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,shot_diff,on_target_diff,corner_diff,foul_diff,yellow_diff,red_diff
SP1,2018-08-17,Betis,Levante,0,3,A,0,1,A,22,6,8,4,5,3,10,10,0,2,0,0,1.66,4.0,5.0,16,4,2,0,-2,0
SP1,2018-08-17,Girona,Valladolid,0,0,D,0,0,D,13,2,1,1,3,2,21,20,1,1,0,0,1.75,3.6,5.0,11,0,1,1,0,0
SP1,2018-08-18,Celta,Espanol,1,1,D,0,1,A,12,14,2,5,8,7,13,14,3,2,0,0,1.85,3.5,4.5,-2,-3,1,-1,1,0
SP1,2018-08-18,Barcelona,Alaves,3,0,H,0,0,D,25,3,9,0,7,1,6,13,0,2,0,0,1.11,10.0,21.0,22,9,6,-7,-2,0
SP1,2018-08-18,Villarreal,Sociedad,1,2,A,1,1,D,16,8,7,4,4,6,16,10,2,3,0,0,2.04,3.4,3.8,8,3,-2,6,-1,0
SP1,2018-08-19,Vallecano,Sevilla,1,4,A,0,3,A,13,17,2,8,2,6,6,15,1,0,0,0,3.25,3.6,2.14,-4,-6,-4,-9,1,0
SP1,2018-08-19,Eibar,Huesca,1,2,A,0,2,A,18,8,6,6,7,0,12,13,1,1,0,0,1.66,3.75,5.5,10,0,7,-1,0,0
SP1,2018-08-19,Real Madrid,Getafe,2,0,H,1,0,H,10,4,3,1,3,0,11,27,1,7,0,0,1.2,7.0,13.0,6,2,3,-16,-6,0
SP1,2018-08-20,Ath Bilbao,Leganes,2,1,H,1,1,D,17,12,5,2,6,2,12,13,4,5,0,0,1.75,3.3,5.5,5,3,4,-1,-1,0
SP1,2018-08-20,Valencia,Ath Madrid,1,1,D,0,1,A,13,9,4,3,4,10,10,15,2,3,0,0,3.0,3.2,2.5,4,1,-6,-5,-1,0
SP1,2018-08-24,Getafe,Eibar,2,0,H,1,0,H,7,9,4,0,5,5,14,11,2,1,0,0,1.95,3.2,4.33,-2,4,0,3,1,0
SP1,2018-08-24,Leganes,Sociedad,2,2,D,0,2,A,18,7,5,6,5,0,12,9,1,2,0,0,3.5,3.3,2.1,11,-1,5,3,-1,0
SP1,2018-08-25,Alaves,Betis,0,0,D,0,0,D,16,13,4,5,5,6,17,15,3,1,0,0,2.8,3.25,2.6,3,-1,-1,2,2,0
SP1,2018-08-25,Ath Madrid,Vallecano,1,0,H,0,0,D,9,13,2,3,8,5,7,8,1,1,0,0,1.16,7.0,21.0,-4,-1,3,-1,0,0
SP1,2018-08-25,Valladolid,Barcelona,0,1,A,0,0,D,7,10,4,5,6,10,13,11,1,1,0,0,17.0,7.5,1.16,-3,-1,-4,2,0,0
SP1,2018-08-26,Espanol,Valencia,2,0,H,0,0,D,19,16,9,4,6,10,16,12,1,1,0,0,3.25,3.2,2.37,3,5,-4,4,0,0
SP1,2018-08-26,Girona,Real Madrid,1,4,A,1,1,D,10,20,5,8,4,7,13,11,2,3,0,0,8.0,5.5,1.36,-10,-3,-3,2,-1,0
SP1,2018-08-26,Sevilla,Villarreal,0,0,D,0,0,D,19,14,2,6,4,5,13,14,3,2,0,0,1.72,4.2,4.33,5,-4,-1,-1,1,0
SP1,2018-08-27,Ath Bilbao,Huesca,2,2,D,0,0,D,14,9,4,4,3,2,17,17,2,2,0,0,1.61,3.6,6.5,5,0,1,0,0,0
SP1,2018-08-27,Levante,Celta,1,2,A,0,2,A,15,21,6,9,7,7,14,8,2,3,0,0,2.4,3.25,3.0,-6,-3,0,6,-1,0
SP1,2018-08-31,Villarreal,Girona,0,1,A,0,0,D,13,14,3,6,7,2,15,11,3,2,0,0,1.57,4.0,6.0,-1,-3,5,4,1,0
SP1,2018-08-31,Eibar,Sociedad,2,1,H,1,1,D,8,7,2,2,4,2,18,15,3,2,0,0,2.75,3.25,2.62,1,0,2,3,1,0
SP1,2018-08-31,Getafe,Valladolid,0,0,D,0,0,D,12,7,3,4,6,7,22,14,3,1,0,0,1.9,3.2,4.75,5,-1,-1,8,2,0
SP1,2018-09-01,Real Madrid,Leganes,4,1,H,1,1,D,17,8,8,3,8,1,11,11,1,1,0,0,1.12,9.0,21.0,9,5,7,0,0,0
SP1,2018-09-01,Celta,Ath Madrid,2,0,H,0,0,D,10,9,4,0,2,8,12,14,4,5,0,1,5.5,3.4,1.75,1,4,-6,-2,-1,-1
SP1,2018-09-02,Levante,Valencia,2,2,D,2,1,H,13,18,4,5,3,5,14,10,4,2,1,0,3.75,3.4,2.0,-5,-1,-2,4,2,1
SP1,2018-09-02,Alaves,Espanol,2,1,H,0,1,A,8,11,5,7,0,12,19,13,4,3,0,0,2.9,3.1,2.54,-3,-2,-12,6,1,0
SP1,2018-09-02,Barcelona,Huesca,8,2,H,3,2,H,31,7,15,3,9,4,6,12,1,2,0,0,1.08,11.0,29.0,24,12,5,-6,-1,0
SP1,2018-09-02,Betis,Sevilla,1,0,H,0,0,D,11,8,3,2,5,8,15,17,3,6,0,1,2.8,3.5,2.45,3,1,-3,-2,-3,-1
SP1,2018-09-14,Huesca,Vallecano,0,1,A,0,1,A,14,14,4,2,6,3,16,18,2,1,0,0,2.14,3.5,3.4,0,2,3,-2,1,0
SP1,2018-09-15,Ath Bilbao,Real Madrid,1,1,D,1,0,H,11,16,3,6,1,2,18,6,6,2,0,0,6.0,4.33,1.53,-5,-3,-1,12,4,0
SP1,2018-09-15,Ath Madrid,Eibar,1,1,D,0,0,D,18,12,9,3,14,3,5,21,2,2,0,0,1.36,4.33,12.0,6,6,11,-16,0,0
SP1,2018-09-15,Sociedad,Barcelona,1,2,A,1,0,H,8,12,5,6,1,6,18,8,1,1,0,0,7.0,5.25,1.4,-4,-1,-5,10,0,0
SP1,2018-09-15,Valencia,Betis,0,0,D,0,0,D,12,11,2,6,5,4,22,9,6,3,0,0,1.75,3.75,4.75,1,-4,1,13,3,0
SP1,2018-09-16,Sevilla,Getafe,0,2,A,0,2,A,15,10,1,5,7,1,10,22,3,6,0,0,1.55,4.0,7.0,5,-4,6,-12,-3,0
SP1,2018-09-16,Valladolid,Alaves,0,1,A,0,0,D,15,10,5,4,7,2,9,12,3,2,0,0,2.2,3.1,3.6,5,1,5,-3,1,0
SP1,2018-09-16,Espanol,Levante,1,0,H,0,0,D,22,16,9,4,5,4,17,13,1,2,0,0,1.72,3.6,5.25,6,5,1,4,-1,0
SP1,2018-09-16,Leganes,Villarreal,0,1,A,0,0,D,16,9,3,3,6,1,16,9,4,3,0,0,3.0,3.1,2.54,7,0,5,7,1,0
SP1,2018-09-17,Girona,Celta,3,2,H,2,1,H,11,20,6,7,3,1,15,11,1,3,0,1,2.4,3.3,3.0,-9,-1,2,4,-2,-1
SP1,2018-09-21,Huesca,Sociedad,0,1,A,0,0,D,13,7,3,1,7,5,16,12,5,3,0,2,3.6,3.4,2.1,6,2,2,4,2,-2
SP1,2018-09-22,Celta,Valladolid,3,3,D,2,1,H,12,14,5,4,7,8,9,11,2,2,0,0,1.75,3.5,5.25,-2,1,-1,-2,0,0
SP1,2018-09-22,Eibar,Leganes,1,0,H,0,0,D,14,4,3,2,5,2,16,17,1,1,0,0,2.04,3.2,4.0,10,1,3,-1,0,0
SP1,2018-09-22,Getafe,Ath Madrid,0,2,A,0,1,A,11,7,2,4,1,5,12,15,1,2,1,0,5.0,3.3,1.8,4,-2,-4,-3,-1,1
SP1,2018-09-22,Real Madrid,Espanol,1,0,H,1,0,H,19,10,5,3,8,3,5,16,2,2,0,0,1.18,7.0,15.0,9,2,5,-11,0,0
SP1,2018-09-22,Vallecano,Alaves,1,5,A,1,2,A,13,11,4,7,8,4,14,12,1,2,1,0,2.04,3.4,3.6,2,-3,4,2,-1,1
SP1,2018-09-23,Villarreal,Valencia,0,0,D,0,0,D,11,12,1,2,8,6,12,12,4,1,0,1,2.25,3.25,3.3,-1,-1,2,0,3,-1
SP1,2018-09-23,Levante,Sevilla,2,6,A,1,4,A,19,20,10,9,8,4,5,18,1,1,0,0,3.5,3.6,2.04,-1,1,4,-13,0,0
SP1,2018-09-23,Barcelona,Girona,2,2,D,1,1,D,22,7,11,6,8,2,9,16,3,5,1,0,1.08,11.0,21.0,15,5,6,-7,-2,1
SP1,2018-09-23,Betis,Ath Bilbao,2,2,D,0,2,A,15,7,3,4,6,1,13,20,2,7,0,1,2.14,3.3,3.6,8,-1,5,-7,-5,-1
SP1,2018-09-25,Ath Madrid,Huesca,3,0,H,3,0,H,17,8,5,1,4,3,1,14,0,2,0,0,1.22,6.0,15.0,9,4,1,-13,-2,0
SP1,2018-09-25,Espanol,Eibar,1,0,H,0,0,D,9,8,5,1,4,3,8,8,2,2,0,0,1.9,3.3,4.5,1,4,1,0,0,0
SP1,2018-09-25,Sociedad,Vallecano,2,2,D,1,2,A,16,11,6,6,8,5,12,18,4,3,0,0,1.61,4.0,5.5,5,0,3,-6,1,0
SP1,2018-09-26,Ath Bilbao,Villarreal,0,3,A,0,0,D,12,19,2,6,6,4,3,14,1,1,0,0,2.25,3.3,3.3,-7,-4,2,-11,0,0
SP1,2018-09-26,Leganes,Barcelona,2,1,H,0,1,A,10,9,6,5,4,5,15,11,4,2,0,0,12.0,6.0,1.25,1,1,-1,4,2,0
SP1,2018-09-26,Sevilla,Real Madrid,3,0,H,3,0,H,16,21,7,3,5,6,16,12,3,4,0,0,4.33,4.2,1.72,-5,4,-1,4,-1,0
SP1,2018-09-26,Valencia,Celta,1,1,D,1,0,H,14,9,5,3,0,2,18,7,1,3,0,0,1.66,4.0,4.75,5,2,-2,11,-2,0
SP1,2018-09-27,Alaves,Getafe,1,1,D,0,0,D,15,13,2,5,5,7,8,22,4,2,0,0,2.8,3.0,2.75,2,-3,-2,-14,2,0
SP1,2018-09-27,Girona,Betis,0,1,A,0,0,D,8,14,2,6,5,1,17,14,1,3,0,0,2.5,3.3,2.87,-6,-4,4,3,-2,0
SP1,2018-09-27,Valladolid,Levante,2,1,H,0,0,D,20,9,6,4,8,6,17,10,1,4,0,1,2.04,3.5,3.6,11,2,2,7,-3,-1
SP1,2018-09-28,Vallecano,Espanol,2,2,D,1,2,A,11,12,5,5,5,3,13,16,3,3,0,0,2.8,3.3,2.6,-1,0,2,-3,0,0
