team,total_games,avg_goals_scored,avg_goals_conceded,avg_shots,avg_shots_on_target,avg_corners,avg_fouls,avg_yellow_cards,avg_red_cards,home_win_rate,overall_win_rate
Alaves,257,0.9494,1.4241,10.4747,3.2918,4.1829,14.5992,2.5681,0.1167,0.3672,0.2724
Almeria,76,1.2105,1.8421,12.1053,4.2632,4.1579,12.1053,2.4605,0.1184,0.2895,0.1842
Ath Bilbao,295,1.2373,1.0542,12.0847,4.0949,5.322,13.478,2.2814,0.1085,0.5068,0.3864
Ath Madrid,295,1.678,0.8746,12.5356,4.7492,5.2237,12.0678,2.4203,0.1119,0.7432,0.5864
Barcelona,295,2.2305,0.9525,15.4915,6.0814,6.0407,10.7085,2.078,0.0949,0.7635,0.6847
Betis,295,1.3525,1.2712,12.6678,4.4576,4.8441,11.8169,2.2949,0.1593,0.483,0.4
Cadiz,152,0.8355,1.4276,9.9276,3.0789,4.2434,13.3684,2.6842,0.1316,0.2632,0.2303
Celta,295,1.278,1.4,11.1661,4.0983,4.2949,12.8542,2.278,0.122,0.3851,0.3051
Eibar,114,1.0,1.386,12.3158,3.8158,5.3596,13.5702,2.1404,0.0702,0.3333,0.2456
Elche,143,0.993,1.5385,9.3287,3.0909,4.2168,13.5944,2.5315,0.1538,0.2917,0.2098
Espanol,219,1.1096,1.484,11.1507,3.6758,4.3927,13.2237,2.484,0.1461,0.3636,0.2648
Getafe,295,0.9729,1.1017,10.5559,3.3288,3.9424,16.3322,3.1831,0.1932,0.381,0.2983
Girona,181,1.4088,1.4254,11.2652,4.2652,4.0884,11.7569,2.1381,0.0939,0.4444,0.3646
Granada,152,1.1908,1.6447,10.3947,3.4276,3.9539,13.9145,2.6842,0.1053,0.3684,0.2697
Huesca,76,1.0132,1.5526,11.5789,3.7632,4.2763,14.5789,2.4211,0.0658,0.2632,0.1842
Las Palmas,76,0.9605,1.4211,10.5263,3.5,4.1974,11.3026,2.4868,0.1184,0.2632,0.2368
Leganes,114,0.9298,1.3158,10.5,3.5088,3.5877,14.3421,2.7632,0.1228,0.3333,0.2456
Levante,181,1.3094,1.6575,11.2541,3.8343,4.6409,13.1934,2.3812,0.1215,0.3077,0.2652
Mallorca,219,0.9817,1.3973,10.5114,3.4292,4.0457,13.8447,2.6256,0.1279,0.4037,0.2785
Osasuna,257,1.1051,1.3152,11.2685,3.5136,4.2062,13.7626,2.3268,0.1167,0.4219,0.3307
Oviedo,29,0.6897,1.6552,9.931,3.2069,3.8276,12.8276,2.2414,0.2759,0.2143,0.1379
Real Madrid,295,1.9763,0.8678,16.1288,6.1254,5.8271,10.4542,1.8678,0.1017,0.7568,0.6746
Sevilla,295,1.3424,1.2068,12.4441,4.1424,4.9864,13.1695,2.6983,0.1424,0.4797,0.4034
Sociedad,295,1.2915,1.1322,11.5661,4.0949,5.0339,14.2339,2.2102,0.0746,0.4694,0.4169
Valencia,295,1.1966,1.2881,10.8136,3.6,4.7085,12.7051,2.3153,0.1322,0.4286,0.3186
Valladolid,190,0.8263,1.6,10.1895,3.3053,4.3842,12.8105,2.3789,0.0789,0.2526,0.2053
Vallecano,219,1.0183,1.3744,13.1005,4.1598,5.0594,14.1461,2.621,0.1507,0.3303,0.274
Villarreal,295,1.6407,1.261,12.5661,4.6136,4.6068,12.4169,2.3864,0.0949,0.4865,0.4407
